x,y,z
9999999986.724817,30000.0,0.0
9999999960.174452,59999.99996017445,0.0
9999999920.348904,89999.9998406978,0.0
9999999867.248173,119999.99960174451,0.0
9999999800.87226,149999.99920348902,0.0
9999999721.22116,179999.99860610577,0.0
9999999628.29488,209999.99776976922,0.0
9999999522.093416,239999.9966546538,0.0
9999999402.616768,269999.995220934,0.0
9999999269.864935,299999.99342878413,0.0
9999999123.837917,329999.99123837875,0.0
9999998964.535715,359999.9886098922,0.0
9999998791.958326,389999.985503499,0.0
9999998606.105753,419999.9818793735,0.0
9999998406.977993,449999.9776976901,0.0
9999998194.575047,479999.9729186232,0.0
9999997968.896912,509999.96750234725,0.0
9999997729.943588,539999.9614090367,0.0
9999997477.715076,569999.9545988657,0.0
9999997212.211376,599999.9470320088,0.0
9999996933.432486,629999.9386686403,0.0
9999996641.378405,659999.9294689348,0.0
9999996336.049131,689999.9193930663,0.0
9999996017.444666,719999.9084012094,0.0
9999995685.565008,749999.8964535383,0.0
9999995340.410156,779999.8835102273,0.0
9999994981.980108,809999.8695314508,0.0
9999994610.274864,839999.8544773831,0.0
9999994225.294424,869999.8383081984,0.0
9999993827.038786,899999.820984071,0.0
9999993415.50795,929999.8024651753,0.0
9999992990.701914,959999.7827116854,0.0
9999992552.620676,989999.7616837756,0.0
9999992101.264236,1019999.7393416201,0.0
9999991636.632593,1049999.7156453931,0.0
9999991158.725744,1079999.690555269,0.0
9999990667.54369,1109999.6640314215,0.0
9999990163.086428,1139999.6360340253,0.0
9999989645.353958,1169999.6065232542,0.0
9999989114.346277,1199999.5754592824,0.0
9999988570.063385,1229999.5428022842,0.0
9999988012.505281,1259999.5085124336,0.0
9999987441.671963,1289999.4725499046,0.0
9999986857.563429,1319999.4348748713,0.0
9999986260.179678,1349999.3954475077,0.0
9999985649.520708,1379999.354227988,0.0
9999985025.586517,1409999.311176486,0.0
9999984388.377106,1439999.266253176,0.0
9999983737.89247,1469999.2194182316,0.0
9999983074.132608,1499999.170631827,0.0
9999982397.097519,1529999.1198541361,0.0
9999981706.7872,1559999.0670453326,0.0
9999981003.201653,1589999.0121655907,0.0
9999980286.340872,1619998.955175084,0.0
9999979556.204857,1649998.8960339865,0.0
9999978812.793604,1679998.834702472,0.0
9999978056.107113,1709998.7711407142,0.0
9999977286.145382,1739998.705308887,0.0
9999976502.90841,1769998.6371671641,0.0
9999975706.39619,1799998.5666757193,0.0
9999974896.608727,1829998.4937947262,0.0
9999974073.546013,1859998.4184843583,0.0
9999973237.20805,1889998.3407047896,0.0
9999972387.594833,1919998.2604161936,0.0
9999971524.706362,1949998.1775787438,0.0
9999970648.542631,1979998.0921526137,0.0
9999969759.103642,2009998.004097977,0.0
9999968856.389389,2039997.9133750072,0.0
9999967940.399872,2069997.8199438779,0.0
9999967011.135088,2099997.7237647623,0.0
9999966068.595036,2129997.624797834,0.0
9999965112.77971,2159997.523003266,0.0
9999964143.689112,2189997.4183412325,0.0
9999963161.323236,2219997.3107719063,0.0
9999962165.682081,2249997.2002554606,0.0
9999961156.765644,2279997.0867520687,0.0
9999960134.573921,2309996.970221904,0.0
9999959099.10691,2339996.85062514,0.0
9999958050.36461,2369996.7279219497,0.0
9999956988.347017,2399996.6020725057,0.0
9999955913.054129,2429996.4730369817,0.0
9999954824.48594,2459996.3407755503,0.0
9999953722.642452,2489996.205248385,0.0
9999952607.523659,2519996.066415659,0.0
9999951479.129559,2549995.9242375446,0.0
9999950337.460148,2579995.778674215,0.0
9999949182.515425,2609995.6296858434,0.0
9999948014.295385,2639995.4772326024,0.0
9999946832.800026,2669995.3212746647,0.0
9999945638.029345,2699995.1617722036,0.0
9999944429.983337,2729994.9986853916,0.0
9999943208.662,2759994.831974401,0.0
9999941974.065332,2789994.661599405,0.0
9999940726.193329,2819994.487520576,0.0
9999939465.045986,2849994.3096980867,0.0
9999938190.623302,2879994.1280921097,0.0
9999936902.925274,2909993.9426628174,0.0
9999935601.951897,2939993.7533703824,0.0
9999934287.703167,2969993.560174977,0.0
9999932960.179083,2999993.3630367736,0.0
9999931619.379639,3029993.161915945,0.0
9999930265.304832,3059992.9567726627,0.0
9999928897.95466,3089992.7475670995,0.0
9999927517.329119,3119992.534259428,0.0
9999926123.428204,3149992.3168098195,0.0
9999924716.251911,3179992.0951784467,0.0
9999923295.80024,3209991.869325482,0.0
9999921862.073183,3239991.6392110963,0.0
9999920415.070738,3269991.4047954627,0.0
9999918954.792902,3299991.166038753,0.0
9999917481.23967,3329990.9229011387,0.0
9999915994.411037,3359990.675342792,0.0
9999914494.307001,3389990.423323885,0.0
9999912980.927559,3419990.166804589,0.0
9999911454.272705,3449989.9057450755,0.0
9999909914.342436,3479989.6401055166,0.0
9999908361.136747,3509989.369846084,0.0
9999906794.655634,3539989.094926949,0.0
9999905214.899094,3569988.8153082835,0.0
9999903621.86712,3599988.5309502585,0.0
9999902015.559711,3629988.241813046,0.0
9999900395.976862,3659987.947856817,0.0
9999898763.118568,3689987.6490417426,0.0
9999897116.984827,3719987.345327995,0.0
9999895457.575632,3749987.036675744,0.0
9999893784.89098,3779986.7230451624,0.0
9999892098.930866,3809986.4043964203,0.0
9999890399.695286,3839986.080689689,0.0
9999888687.184235,3869985.7518851394,0.0
9999886961.397709,3899985.4179429426,0.0
9999885222.335703,3929985.0788232693,0.0
9999883469.998213,3959984.7344862907,0.0
9999881704.385233,3989984.384892178,0.0
9999879925.49676,4019984.0300011006,0.0
9999878133.332788,4049983.6697732303,0.0
9999876327.893314,4079983.3041687375,0.0
9999874509.178331,4109982.9331477927,0.0
9999872677.187836,4139982.5566705666,0.0
9999870831.921824,4169982.174697229,0.0
9999868973.38029,4199981.787187952,0.0
9999867101.563227,4229981.394102904,0.0
9999865216.470633,4259980.995402256,0.0
9999863318.102503,4289980.591046179,0.0
9999861406.45883,4319980.180994841,0.0
9999859481.53961,4349979.765208415,0.0
9999857543.34484,4379979.343647068,0.0
9999855591.87451,4409978.916270973,0.0
9999853627.128618,4439978.483040298,0.0
9999851649.10716,4469978.043915214,0.0
9999849657.81013,4499977.598855889,0.0
9999847653.23752,4529977.147822495,0.0
9999845635.389328,4559976.6907752,0.0
9999843604.265549,4589976.227674174,0.0
9999841559.866175,4619975.758479587,0.0
9999839502.191202,4649975.283151608,0.0
9999837431.240625,4679974.801650407,0.0
9999835347.014439,4709974.3139361525,0.0
9999833249.512636,4739973.819969014,0.0
9999831138.735212,4769973.319709161,0.0
9999829014.682161,4799972.813116764,0.0
9999826877.35348,4829972.30015199,0.0
9999824726.749159,4859971.780775009,0.0
9999822562.869196,4889971.254945989,0.0
9999820385.713583,4919970.722625099,0.0
9999818195.282316,4949970.183772509,0.0
9999815991.575388,4979969.638348388,0.0
9999813774.592794,5009969.086312903,0.0
9999811544.334528,5039968.527626224,0.0
9999809300.800583,5069967.962248518,0.0
9999807043.990955,5099967.390139955,0.0
9999804773.905638,5129966.811260703,0.0
9999802490.544624,5159966.22557093,0.0
9999800193.90791,5189965.633030805,0.0
9999797883.995485,5219965.033600495,0.0
9999795560.807348,5249964.427240169,0.0
9999793224.34349,5279963.813909994,0.0
9999790874.603907,5309963.19357014,0.0
9999788511.58859,5339962.566180772,0.0
9999786135.297537,5369961.93170206,0.0
9999783745.730738,5399961.290094171,0.0
9999781342.888187,5429960.641317273,0.0
9999778926.76988,5459959.985331533,0.0
9999776497.375809,5489959.322097119,0.0
9999774054.705967,5519958.651574198,0.0
9999771598.76035,5549957.973722938,0.0
9999769129.538948,5579957.288503506,0.0
9999766647.041758,5609956.59587607,0.0
9999764151.26877,5639955.895800795,0.0
9999761642.21998,5669955.188237851,0.0
9999759119.895382,5699954.473147402,0.0
9999756584.294968,5729953.750489616,0.0
9999754035.418732,5759953.02022466,0.0
9999751473.266666,5789952.2823127005,0.0
9999748897.838764,5819951.536713905,0.0
9999746309.13502,5849950.783388439,0.0
9999743707.155426,5879950.022296469,0.0
9999741091.899975,5909949.253398162,0.0
9999738463.368662,5939948.476653685,0.0
9999735821.561478,5969947.692023203,0.0
9999733166.478416,5999946.8994668815,0.0
9999730498.119473,6029946.098944888,0.0
9999727816.484636,6059945.290417388,0.0
9999725121.573902,6089944.473844548,0.0
9999722413.387262,6119943.649186532,0.0
9999719691.924711,6149942.816403507,0.0
9999716957.186241,6179941.97545564,0.0
9999714209.171844,6209941.126303094,0.0
9999711447.881514,6239940.268906036,0.0
9999708673.31524,6269939.403224631,0.0
9999705885.47302,6299938.529219044,0.0
9999703084.354845,6329937.646849441,0.0
9999700269.960705,6359936.756075987,0.0
9999697442.290594,6389935.856858846,0.0
9999694601.344507,6419934.949158183,0.0
9999691747.122435,6449934.032934165,0.0
9999688879.624369,6479933.108146954,0.0
9999685998.850302,6509932.174756717,0.0
9999683104.800228,6539931.232723617,0.0
9999680197.474138,6569930.282007819,0.0
9999677276.872025,6599929.322569487,0.0
9999674342.993881,6629928.354368785,0.0
9999671395.839699,6659927.377365879,0.0
9999668435.40947,6689926.391520931,0.0
9999665461.703186,6719925.396794107,0.0
9999662474.72084,6749924.39314557,0.0
9999659474.462425,6779923.380535482,0.0
9999656460.927933,6809922.35892401,0.0
9999653434.117355,6839921.328271315,0.0
9999650394.030684,6869920.288537563,0.0
9999647340.66791,6899919.239682916,0.0
9999644274.029026,6929918.181667537,0.0
9999641194.114025,6959917.114451591,0.0
9999638100.9229,6989916.037995239,0.0
9999634994.455639,7019914.952258645,0.0
9999631874.712236,7049913.857201972,0.0
9999628741.692684,7079912.752785383,0.0
9999625595.396973,7109911.6389690405,0.0
9999622435.825094,7139910.515713108,0.0
9999619262.977041,7169909.382977746,0.0
9999616076.852804,7199908.24072312,0.0
9999612877.452375,7229907.08890939,0.0
9999609664.775747,7259905.927496719,0.0
9999606438.82291,7289904.756445269,0.0
9999603199.593857,7319903.575715203,0.0
9999599947.088577,7349902.385266682,0.0
9999596681.307064,7379901.185059868,0.0
9999593402.249308,7409899.9750549225,0.0
9999590109.9153,7439898.755212008,0.0
